,model,submodel,mean_acc,std_acc,min_acc,max_acc,q1_acc,median_acc,q3_acc,mean_auc,std_auc,min_auc,max_auc,q1_auc,median_auc,q3_auc,mean_pr,std_pr,min_pr,max_pr,q1_pr,median_pr,q3_pr,mean_f1,std_f1,min_f1,max_f1,q1_f1,median_f1,q3_f1,n_folds,mean_tn,mean_fp,mean_fn,mean_tp,robust_acc,robust_f1
10,efficientnet,B4,0.7025466918945312,0.029391937107842554,0.6740237474441528,0.7487266659736633,0.6876060962677002,0.6893039345741272,0.7130730152130127,0.7745313040470425,0.022734880797644262,0.744644298397325,0.8051423959414274,0.7617202813328721,0.7804047042545832,0.7807448403090049,0.7450132237831437,0.022219478387825335,0.7142157795518247,0.7668022524438993,0.7349245054983117,0.7429979669321003,0.7661256144895827,0.7013398200689673,0.03003650118703299,0.6721098484105898,0.7486679686809523,0.6870486941360194,0.68712902798806,0.7117435611292156,5,190.2,71.0,104.2,223.6,0.6731547547866886,0.6713033188819344
11,efficientnet,B5,0.7056027173995971,0.01110723493746415,0.6893039345741272,0.7164685726165771,0.6994906663894653,0.7096773982048035,0.7130730152130127,0.7840136054421768,0.024412357375671833,0.7427649025711979,0.8052461662631154,0.7848380029978093,0.7887755102040817,0.79844344517468,0.7625860715386132,0.029835916599524403,0.7112443571583629,0.787400505651881,0.7663414856269171,0.7697519440913175,0.7781920651645877,0.7007695912278893,0.01300318597291331,0.6822101685424875,0.7126384347645858,0.6923065522483048,0.7068346687497791,0.7098581318342898,5,171.2,50.2,123.2,244.4,0.694495482462133,0.687766405254976
12,efficientnet,B6,0.6988115310668945,0.011427035188703036,0.6876060962677002,0.7164685726165771,0.6910017132759094,0.6960950493812561,0.7028862237930298,0.775059379684077,0.010479512099845954,0.762902109996541,0.7876282716476422,0.7692493946731236,0.7712325608209385,0.78428456128214,0.7596783034029866,0.014399070137498585,0.7501536221839484,0.7850109970630237,0.7516337482455704,0.754792219066455,0.7568009304559355,0.6953089369540073,0.012126612323755575,0.6824574513437716,0.7134955283620725,0.68902155503729,0.6906703154834896,0.700899834543413,5,175.0,58.0,119.4,236.6,0.6873844958781915,0.6831823246302517
13,efficientnet,B7,0.7188454985618591,0.014133564418954591,0.7011884450912476,0.7402377128601074,0.7147707939147949,0.7164685726165771,0.7215619683265686,0.7907817364233829,0.02318517101939776,0.7598351204888735,0.8223221491986625,0.7832237979937737,0.7866366885737346,0.80189092586187,0.7770693097774064,0.029897453230820832,0.734712522776299,0.8122604548577937,0.7700234512898405,0.7701698957933605,0.7981802241697383,0.7170059005882108,0.014031354754402701,0.7001295886244154,0.7383521860786617,0.7116783167075851,0.7144105565069996,0.7204588550233921,5,188.4,59.6,106.0,235.0,0.7047119341429045,0.7029745458338081
14,alexnet,nan,0.8665534853935242,0.013928102886236292,0.8471986651420593,0.8862478733062744,0.8641765713691711,0.8658743500709534,0.8692699670791626,0.9400784042430532,0.010421750023522143,0.9304162342903264,0.9559091433183442,0.9312982820246742,0.9391502363657328,0.9436181252161882,0.9337526473148333,0.013536620809432263,0.9195081227819156,0.9539014988948402,0.923126850067134,0.9360038264601632,0.9362229383701132,0.8663251423723182,0.013901532241163576,0.8471453236930271,0.8861165651119793,0.8636952648198774,0.8658356854287981,0.8688328728079091,5,244.2,28.4,50.2,266.2,0.8526253825072879,0.8524236101311546
15,googlenet,nan,0.7188454985618591,0.017749861000013325,0.6943972706794739,0.7368420958518982,0.7079796195030212,0.7215619683265686,0.7334465384483337,0.7924535916061342,0.025179035482427954,0.7548368499942351,0.8155309581459704,0.7845151619970022,0.7920154502478958,0.8153695376455667,0.7781416925496498,0.03390391302774508,0.7229442935091113,0.810177282414103,0.770679665248462,0.7930808750704806,0.793826346506092,0.718045325583437,0.01721587344479764,0.6940789423495237,0.7344415791526475,0.7079114238783353,0.7204588550212339,0.7333358275154447,5,218.8,90.0,75.6,204.6,0.7010956375618458,0.7008294521386393
16,resnet,101,0.729711365699768,0.025449893903273166,0.6893039345741272,0.7521222233772278,0.7249575257301331,0.7317487001419067,0.7504244446754456,0.7976986048656751,0.022761925015122524,0.7584572812175716,0.8157557938429609,0.7991756024443676,0.8053038164418309,0.8098005303816442,0.7939608577211712,0.026873437707245023,0.7558835687990468,0.8249780748691943,0.7793742377106819,0.800929348907046,0.808639058319887,0.728531623070542,0.025601369249807212,0.689300317532263,0.7519155711521371,0.7199189806309474,0.7317479483938661,0.7497752976434965,5,206.0,70.8,88.4,223.8,0.7042614717964949,0.7029302538207348
17,resnet,152,0.7514431238174438,0.021629378357978835,0.7249575257301331,0.774193525314331,0.7334465384483337,0.755517840385437,0.7691001892089844,0.8310469272454746,0.016121115421342723,0.8104808024904878,0.8498212844459818,0.8208693646950306,0.8303643491294824,0.84369883546639,0.8313215781774261,0.024162402448291136,0.7949007510921013,0.8610938823267159,0.8292911273764885,0.8293114585487645,0.84201067154306,0.75105983887975,0.021783156409756248,0.7239829164049596,0.7740658973483423,0.7333973316308489,0.7553139879157924,0.768539061098807,5,212.6,64.6,81.8,230.0,0.729813745459465,0.7292766824699938
18,resnet,18,0.7358234167098999,0.016355297708940134,0.7181664109230042,0.7589133977890015,0.7249575257301331,0.7317487001419067,0.7453310489654541,0.8219981551942812,0.01757764178179888,0.8003459010722934,0.8450709097198201,0.8139974633921365,0.8166551366309236,0.833921365156232,0.8124956217091077,0.024073363975187244,0.7865130038120434,0.8396638925787873,0.7970322927499561,0.8028437557384701,0.8364251636662818,0.7353261350196675,0.01593192040999654,0.7179314035057591,0.7579582762380184,0.7249567573413468,0.7315746309711845,0.7442096070420292,5,216.6,77.8,77.8,216.8,0.7194681190009597,0.7193942146096709
19,resnet,34,0.7395585775375366,0.023328426774968908,0.7130730152130127,0.7674023509025574,0.7198641896247864,0.7402377128601074,0.7572156190872192,0.8201164533610052,0.02072749926860263,0.7958030669895078,0.8432837541796377,0.8013951343249165,0.8254237288135593,0.8346765824974057,0.814588702500803,0.019615904286255762,0.7953089853185974,0.8466939119269559,0.8040354793907403,0.8100813133136893,0.8168238225540323,0.7388355538195566,0.02357694082659096,0.7124231106890967,0.7672306066628178,0.7191355387842329,0.7383521860786617,0.7570363268829732,5,212.6,71.6,81.8,223.0,0.7162301507625677,0.7152586129929656
20,resnet,50,0.7616298794746399,0.0185440695572711,0.7385398745536804,0.784380316734314,0.7487266659736633,0.7623090147972107,0.774193525314331,0.8374322610400092,0.023630470706305487,0.8084745762711865,0.8613167300818632,0.8197970713709213,0.8374783811829818,0.8600945462930936,0.8329514234733842,0.027123151612018198,0.8029424609232831,0.8642484639184342,0.8076056852219275,0.8368923960522565,0.8530681112510194,0.7612935632839315,0.018716204740452963,0.7380680061658909,0.7843778144518143,0.7481975269897245,0.762006460000731,0.7738180088114963,5,219.8,65.8,74.6,228.8,0.7430858099173688,0.7425773585434785
21,swin,s,0.7840407490730286,0.010697459130253068,0.7674023509025574,0.7928692698478699,0.7792869210243225,0.7894737124443054,0.7911714911460876,0.8575948345439871,0.015808410967519174,0.8316614781505823,0.8731350167185519,0.858013374841462,0.8583592759137554,0.8668050270955839,0.843596432014263,0.023067526030739586,0.8140700528219893,0.8751511144862025,0.8318997026302922,0.8422103048564487,0.8546509852763834,0.7839400990299331,0.010727898901505849,0.7673594543483946,0.7927683135428868,0.7789498552544383,0.7894730723397902,0.7911497996641556,5,231.6,64.4,62.8,230.2,0.7733432899427755,0.7732122001284273
22,swin,t,0.774193549156189,0.025410241928931696,0.7521222233772278,0.8132427930831909,0.7572156190872192,0.7623090147972107,0.7860780954360962,0.8617560244436758,0.020472876564440093,0.841312118067566,0.8937968407702064,0.8494523233022023,0.855770782889427,0.8684480571889773,0.8517444976926922,0.02158576134613203,0.825066692051751,0.8804866998630743,0.8371034279562386,0.8540008624061667,0.862064806186231,0.7740356064846649,0.02552513069251037,0.7517436842121537,0.8131776189652308,0.7568764256159537,0.7623028268164266,0.7860774768135594,5,234.0,72.6,60.4,222.0,0.7487833072272573,0.7485104757921545
